Stock ID,Order Priority,Cost of Goods,Unit Price,Shipping Cost,Customer ID,Customer Name,Vendor,Order Status (Backorder?),Product Category,Product Sub-Category / Brand,Product Container,Product_Name_EN,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
171001,,720.0,900.0,0.0,L1784,,V1011,Backorder,Clothing,Canada Goose,,Canada goose trillium black s,20%,,,,,Jan-17,,180.0,1,900.0,2017011
171002,,165.6,207.0,0.0,VIP1023,,DIRECT,Backorder,Shoes,Vince,,Vince polette suede high heel black 6,20%,,,,,Jan-17,,41.4,1,207.0,2017012
171003,,76.0,99.0,15.0,VVIP1017,,DIRECT,finished,Clothing,Madewell,,"Madewell Trevi Drapey Blazer Suit Black 2 Last time, change number",8%,,,,,Jan-17,,8.0,1,99.0,2017013
171004,,87.0,120.0,22.5,L1631,,DIRECT,finished,Shoes,UGG,,UGG Australia – Joey Leather & Genuine Shearling Lined Chelsea Boot 6.5 酒红色,9%,,,,,Jan-17,,10.5,1,120.0,2017014
171005,,87.0,120.0,22.5,L1631,,DIRECT,finished,Shoes,UGG,,Ugg red short paragraph 7,9%,,,,,Jan-17,,10.5,1,120.0,2017015
171006,,113.0,193.0,15.0,H1270,,DIRECT,finished,Clothing,Icebreaker,,Set of icebreaker ladies zipper blouse grey s pants s,34%,,,,,Jan-17,,65.0,1,193.0,2017016
171007,,33.0,107.0,15.0,L1609,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,Jan-17,,59.0,1,107.0,2017017
171008,,33.0,107.0,15.0,L1367,,DIRECT,finished,Clothing,Anthropologies,,"Anthropological powder purple sweater m short clothes, s too small",55%,,,,,Jan-17,,59.0,1,107.0,2017018
171009,,33.0,107.0,15.0,VVIP1017,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,Jan-17,,59.0,1,107.0,2017019
171010,,36.0,64.0,7.5,L1126,,DIRECT,finished,Clothing,Tory Burch,,Tory sports white top s number,32%,,,,,Jan-17,,20.5,1,64.0,20170110
171011,,33.0,107.0,15.0,L1288,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,Jan-17,,59.0,1,107.0,20170111
171012,,31.0,80.0,7.5,L1126,,DIRECT,finished,Clothing,Scotch Soda,,Scotch soda camel hat,52%,,,,,Jan-17,,41.5,1,80.0,20170112
171013,,44.0,76.0,15.0,L1060,,DIRECT,finished,Clothing,Armani Exchange,,Ae black sports jacket s,22%,,,,,Jan-17,,17.0,1,76.0,20170113
171014,,662.0,743.0,30.0,L1230,,V1011,finished,Shoes,Stuart Weitzman,,Sw highland 5.5 Grey,7%,,,,,Jan-17,,51.0,1,743.0,20170114
171015,,31.0,80.0,15.0,H1265,,DIRECT,finished,Clothing,Scotch Soda,,Scotch soda black hat,43%,,,,,Jan-17,,34.0,1,80.0,20170115
171016,,33.0,107.0,15.0,H1045,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,Jan-17,,59.0,1,107.0,20170116
171017,,38.0,99.0,15.0,H1156,,DIRECT,finished,Clothing,Madewell,,Madewell Wool Dress Grey xs,46%,,,,,Jan-17,,46.0,1,99.0,20170117
171018,,85.0,161.0,7.5,L1457,,DIRECT,finished,Clothing,Ted Baker,,Ted baker bow white shirt 4,43%,,,,,Jan-17,,68.5,1,161.0,20170118
171019,,38.0,80.0,7.5,VVIP1044,,DIRECT,finished,Clothing,Victoria Secrete,,Vs pajamas black xs,43%,,,,,Jan-17,,34.5,1,80.0,20170119
171020,,36.0,64.0,7.5,VVIP1044,,DIRECT,finished,Clothing,Tory Burch,,Tory sports white top xs,32%,,,,,Jan-17,,20.5,1,64.0,20170120
