Stock ID,Order Priority,Cost of Goods,Unit Price,Shipping Cost,Customer ID,Customer Name,Vendor,Order Status (Backorder?),Product Category,Product Sub-Category / Brand,Product Container,Product_Name_EN,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID
171001,,720,900,0,L1784,,V1011,Backorder,Clothing,Canada Goose,,Canada goose trillium black s,20%,,,,,1/17/2017,,180,1,900,2017011
171002,,165.6,207,0,VIP1023,,DIRECT,Backorder,Shoes,Vince,,Vince polette suede high heel black 6,20%,,,,,1/17/2017,,41.4,1,207,2017012
171003,,76,99,15,VVIP1017,,DIRECT,finished,Clothing,Madewell,,"Madewell Trevi Drapey Blazer Suit Black 2 Last time, change number",8%,,,,,1/17/2017,,8,1,99,2017013
171004,,87,120,22.5,L1631,,DIRECT,finished,Shoes,UGG,,UGG Australia – Joey Leather & Genuine Shearling Lined Chelsea Boot 6.5 ???,9%,,,,,1/17/2017,,10.5,1,120,2017014
171005,,87,120,22.5,L1631,,DIRECT,finished,Shoes,UGG,,Ugg red short paragraph 7,9%,,,,,1/17/2017,,10.5,1,120,2017015
171006,,113,193,15,H1270,,DIRECT,finished,Clothing,Icebreaker,,Set of icebreaker ladies zipper blouse grey s pants s,34%,,,,,1/17/2017,,65,1,193,2017016
171007,,33,107,15,L1609,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,1/17/2017,,59,1,107,2017017
171008,,33,107,15,L1367,,DIRECT,finished,Clothing,Anthropologies,,"Anthropological powder purple sweater m short clothes, s too small",55%,,,,,1/17/2017,,59,1,107,2017018
171009,,33,107,15,VVIP1017,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,1/17/2017,,59,1,107,2017019
171010,,36,64,7.5,L1126,,DIRECT,finished,Clothing,Tory Burch,,Tory sports white top s number,32%,,,,,1/17/2017,,20.5,1,64,20170110
171011,,33,107,15,L1288,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,1/17/2017,,59,1,107,20170111
171012,,31,80,7.5,L1126,,DIRECT,finished,Clothing,Scotch Soda,,Scotch soda camel hat,52%,,,,,1/17/2017,,41.5,1,80,20170112
171013,,44,76,15,L1060,,DIRECT,finished,Clothing,Armani Exchange,,Ae black sports jacket s,22%,,,,,1/17/2017,,17,1,76,20170113
171014,,662,743,30,L1230,,V1011,finished,Shoes,Stuart Weitzman,,Sw highland 5.5 Grey,7%,,,,,1/17/2017,,51,1,743,20170114
171015,,31,80,15,H1265,,DIRECT,finished,Clothing,Scotch Soda,,Scotch soda black hat,43%,,,,,1/17/2017,,34,1,80,20170115
171016,,33,107,15,H1045,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,1/17/2017,,59,1,107,20170116
171017,,38,99,15,H1156,,DIRECT,finished,Clothing,Madewell,,Madewell Wool Dress Grey xs,46%,,,,,1/17/2017,,46,1,99,20170117
171018,,85,161,7.5,L1457,,DIRECT,finished,Clothing,Ted Baker,,Ted baker bow white shirt 4,43%,,,,,1/17/2017,,68.5,1,161,20170118
171019,,38,80,7.5,VVIP1044,,DIRECT,finished,Clothing,Victoria Secrete,,Vs pajamas black xs,43%,,,,,1/17/2017,,34.5,1,80,20170119
171020,,36,64,7.5,VVIP1044,,DIRECT,finished,Clothing,Tory Burch,,Tory sports white top xs,32%,,,,,1/17/2017,,20.5,1,64,20170120
171021,,84,127,15,VIP1116,,DIRECT,finished,Clothing,Alice Olivia,,Alice Olivia Catherine owl sweater Owl wool short-sleeved black and white S,22%,,,,,1/17/2017,,28,1,127,20170121
171022,,31,99,15,VVIP1047,,DIRECT,finished,Clothing,7 for all mankind,,For All 7 Mankind High Waist Belted Diamond Jeans Black 25,54%,,,,,1/17/2017,,53,1,99,20170122
171023,,31,99,15,VVIP1047,,DIRECT,finished,Clothing,7 for all mankind,,For All 7 Mankind High Rise Vintage Straight Jeans Blue 25,54%,,,,,1/17/2017,,53,1,99,20170123
171024,,534,541,30,L1457,,DIRECT,finished,Shoes,Stuart Weitzman,,Stuart Weitzman 5050 Over Knee Boot Light Black 7.5,-4%,,,,,1/17/2017,,-23,1,541,20170124
171025,,61,226,15,H1104,,DIRECT,finished,Clothing,Alice Olivia,,Alice Olivia Nila Sleeveless Long-Sleeved Jacket White M,66%,,,,,1/17/2017,,150,1,226,20170125
171026,,103,256,15,L1445,,DIRECT,finished,Clothing,Alice Olivia,,Alice Olivia Gail Collared Tweet Dress black white 4,54%,,,,,1/17/2017,,138,1,256,20170126
171027,,103,256,15,VVIP1044,,DIRECT,finished,Clothing,Alice Olivia,,Alice Olivia Gail Collared Tweet Dress black white 0,54%,,,,,1/17/2017,,138,1,256,20170127
171028,,96,183,15,VVIP1044,,DIRECT,finished,Clothing,Alice Olivia,,Alice Olivia Marlee striped sequin Woolen Black and White S,39%,,,,,1/17/2017,,72,1,183,20170128
171029,,22,54,7.5,L1450,,DIRECT,finished,Clothing,Club Monaco,,Club Monaco scarf purple,45%,,,,,1/17/2017,,24.5,1,54,20170129
171030,,65,111,22.5,H1186,,DIRECT,finished,Clothing,Topshop,,Topshop bomber jacket 6,21%,,,,,1/17/2017,,23.5,1,111,20170130
171031,,63.2,79,15,VIP1142,,DIRECT,finished,Clothing,Banana Republic,,Br dog sweater grey xs,1%,,,,,1/17/2017,,0.8,1,79,20170131
171031,,63.2,79,15,H1295,,DIRECT,finished,Clothing,Banana Republic,,Br dog sweater grey xs,1%,,,,,1/17/2017,,0.8,1,79,20170132
171032,,31,57,7.5,VIP1042,,V1012,finished,Accessories,Independent Designer,,Two masks l number,32%,,,,,1/17/2017,,18.5,1,57,20170133
171033,,85,164,7.5,DL1021,,DIRECT,finished,Clothing,Ted Baker,,Ted baker bow white shirt 3,44%,,,,,1/17/2017,,71.5,1,164,20170134
171034,,33,107,15,L1134,,DIRECT,finished,Clothing,Anthropologies,,Anthropological powder purple sweater s,55%,,,,,1/17/2017,,59,1,107,20170135
171035,,31,99,7.5,H1106,,DIRECT,finished,Clothing,7 for all mankind,,For All 7 Mankind Skinny Straight Jeans Black 24,61%,,,,,1/17/2017,,60.5,1,99,20170136
171036,,31,76,15,DL1007,,DIRECT,finished,Clothing,Scotch Soda,,Scotch soda camel hat,39%,,,,,1/17/2017,,30,1,76,20170137
171037,,87,114,15,DL1007,,DIRECT,finished,Clothing,Jcrew,,Jcrew gaylee bow sweater grey m,11%,,,,,1/17/2017,,12,1,114,20170138
171038,,31,80,7.5,VIP1105,,DIRECT,finished,Clothing,Scotch Soda,,Scotch soda camel hat,52%,,,,,1/17/2017,,41.5,1,80,20170139
171039,,36,64,7.5,VIP1105,,DIRECT,finished,Clothing,Tory Burch,,Tory sports white top m,32%,,,,,1/17/2017,,20.5,1,64,20170140
171040,,65,111,15,L1377,,DIRECT,finished,Clothing,Topshop,,Topshop bomber jacket 6,28%,,,,,1/17/2017,,31,1,111,20170141
171041,,185,269,30,H1105,,DIRECT,finished,Handbag,Zac Posen,,Zac posen three colour matching handbags,20%,,,,,1/17/2017,,54,1,269,20170142
171042,,139,227,15,VVIP1038,,DIRECT,finished,Clothing,Alice Olivia,,Ao white shirt loving you s,32%,,,,,1/17/2017,,73,1,227,20170143
171043,,131,207,15,VIP1022,,DIRECT,finished,Clothing,Alice Olivia,,Ao trousers xs=0,29%,,,,,1/17/2017,,61,1,207,20170144
171044,,233,286,15,VIP1022,,DIRECT,finished,Clothing,Theory,,Theory loose sweater turmeric brown s,13%,,,,,1/17/2017,,38,1,286,20170145
