Customer ID,Number Orders,Total Spent,Total Items,Days as customer,Days without purchase,Loyal Customer,Many Orders,Big Spender,Dormant Customer,RFMScore
DL1004,4,903.0,4.0,29.0,1.0,1,4,4,No,144
DL1005,9,2581.0,9.0,366.0,1.0,4,4,4,No,444
DL1006,5,200.0,5.0,274.0,274.0,2,4,2,No,242
DL1007,28,5824.0,28.0,425.0,1.0,4,4,4,No,444
DL1009,4,932.0,4.0,305.0,152.0,3,4,4,No,344
DL1011,1,398.0,1.0,29.0,29.0,1,1,3,No,113
DL1012,4,3598.0,15.0,213.0,1.0,4,4,4,No,444
DL1013,6,1131.0,6.0,152.0,60.0,1,4,4,No,144
DL1014,3,1165.0,3.0,29.0,1.0,1,3,4,No,134
DL1015,3,963.0,3.0,60.0,29.0,1,3,4,No,134
DL1016,1,343.0,1.0,274.0,274.0,2,1,3,No,213
DL1017,3,957.0,3.0,213.0,121.0,3,3,4,No,334
DL1018,2,108.0,2.0,274.0,274.0,2,2,1,No,221
DL1020,4,1161.0,4.0,366.0,274.0,2,4,4,No,244
DL1021,2,542.0,2.0,425.0,121.0,3,2,3,No,323
DL5001,1,1703.0,1.0,1.0,1.0,1,1,4,No,114
DL5002,1,358.0,1.0,274.0,274.0,2,1,3,No,213
F5002,2,419.0,2.0,335.0,335.0,1,2,3,Yes,123
FF1002,5,2522.0,5.0,244.0,60.0,4,4,4,No,444
FF1003,1,93.0,1.0,305.0,305.0,2,1,1,Yes,211
FF1004,1,200.0,1.0,29.0,29.0,1,1,2,No,112
FF1006,7,3579.0,7.0,394.0,60.0,4,4,4,No,444
FF1007,1,444.0,1.0,366.0,366.0,1,1,3,Yes,113
FF1011,2,1690.0,2.0,121.0,121.0,1,2,4,No,124
FF1015,2,6466.0,2.0,121.0,1.0,1,2,4,No,124
FF1016,1,232.0,1.0,152.0,152.0,1,1,2,No,112
FF1017,1,70.0,1.0,121.0,121.0,1,1,1,No,111
FF1018,4,894.0,4.0,366.0,182.0,3,4,4,No,344
FF1019,14,4297.0,14.0,394.0,1.0,4,4,4,No,444
FF1021,5,268.0,5.0,366.0,244.0,3,4,2,No,342
FF1023,2,424.0,2.0,305.0,305.0,2,2,3,Yes,223
FF1024,1,131.0,1.0,244.0,244.0,3,1,1,No,311
FF1025,4,1150.0,4.0,425.0,29.0,4,4,4,No,444
FF1026,20,3755.0,20.0,366.0,1.0,4,4,4,No,444
FF1027,2,422.0,2.0,366.0,335.0,1,2,3,Yes,123
FF1028,1,50.0,1.0,274.0,274.0,2,1,1,No,211
FF1030,2,771.0,2.0,366.0,305.0,2,2,4,Yes,224
FF1033,1,38.0,1.0,152.0,152.0,1,1,1,No,111
FF1035,1,1477.0,1.0,1.0,1.0,1,1,4,No,114
FF5003,1,29.0,1.0,213.0,213.0,3,1,1,No,311
H1003,3,309.0,3.0,335.0,274.0,2,3,2,No,232
H1007,4,3726.0,4.0,335.0,274.0,2,4,4,No,244
H1010,1,56.0,1.0,244.0,244.0,3,1,1,No,311
H1011,1,400.0,1.0,305.0,305.0,2,1,3,Yes,213
H1012,2,195.0,2.0,274.0,1.0,4,2,2,No,422
H1014,2,100.0,2.0,305.0,305.0,2,2,1,Yes,221
H1016,4,436.0,4.0,274.0,29.0,4,4,3,No,443
H1018,2,333.0,2.0,366.0,274.0,2,2,2,No,222
H1020,2,524.0,2.0,366.0,1.0,4,2,3,No,423
H1022,3,588.0,3.0,366.0,29.0,4,3,3,No,433
H1025,3,661.0,3.0,394.0,121.0,3,3,3,No,333
H1029,1,146.0,1.0,274.0,274.0,2,1,1,No,211
H1030,2,148.0,2.0,305.0,274.0,2,2,2,No,222
H1035,3,504.0,3.0,366.0,213.0,3,3,3,No,333
H1036,1,41.0,1.0,29.0,29.0,1,1,1,No,111
H1038,1,100.0,1.0,305.0,305.0,2,1,1,Yes,211
H1042,5,687.0,5.0,335.0,244.0,3,4,3,No,343
H1043,20,4032.0,20.0,425.0,152.0,3,4,4,No,344
H1045,3,836.0,3.0,425.0,425.0,1,3,4,Yes,134
H1046,1,114.0,1.0,305.0,305.0,2,1,1,Yes,211
H1048,2,760.0,2.0,335.0,121.0,3,2,4,No,324
H1051,2,598.0,2.0,305.0,60.0,4,2,3,No,423
H1054,1,211.0,1.0,60.0,60.0,1,1,2,No,112
H1059,1,218.0,1.0,213.0,213.0,3,1,2,No,312
H1060,1,172.0,1.0,60.0,60.0,1,1,2,No,112
H1061,1,243.0,1.0,305.0,305.0,2,1,2,Yes,212
H1065,4,1842.0,4.0,244.0,91.0,3,4,4,No,344
H1071,1,231.0,1.0,1.0,1.0,1,1,2,No,112
H1072,1,424.0,1.0,244.0,244.0,3,1,3,No,313
H1074,3,680.0,3.0,274.0,1.0,4,3,3,No,433
H1081,2,162.0,2.0,244.0,213.0,3,2,2,No,322
H1082,6,1373.0,6.0,366.0,1.0,4,4,4,No,444
H1085,1,188.0,1.0,60.0,60.0,1,1,2,No,112
H1100,3,457.0,3.0,366.0,274.0,2,3,3,No,233
H1101,1,56.0,1.0,274.0,274.0,2,1,1,No,211
H1102,4,609.0,4.0,425.0,335.0,1,4,3,Yes,143
H1104,7,1354.0,7.0,425.0,213.0,3,4,4,No,344
H1105,1,269.0,1.0,425.0,425.0,1,1,2,Yes,112
H1106,2,349.0,2.0,425.0,394.0,1,2,3,Yes,123
H1109,1,464.0,1.0,305.0,305.0,2,1,3,Yes,213
H1110,1,155.0,1.0,1.0,1.0,1,1,2,No,112
H1112,1,32.0,1.0,244.0,244.0,3,1,1,No,311
H1115,6,1092.0,6.0,366.0,305.0,2,4,4,Yes,244
H1116,2,256.0,2.0,305.0,244.0,3,2,2,No,322
H1118,3,641.0,3.0,394.0,182.0,3,3,3,No,333
H1119,1,424.0,1.0,244.0,244.0,3,1,3,No,313
H1126,1,106.0,1.0,1.0,1.0,1,1,1,No,111
H1128,1,235.0,1.0,213.0,213.0,3,1,2,No,312
H1130,1,400.0,1.0,305.0,305.0,2,1,3,Yes,213
H1131,7,1321.0,7.0,366.0,274.0,2,4,4,No,244
H1133,2,433.0,2.0,274.0,1.0,4,2,3,No,423
H1134,3,1644.0,3.0,394.0,1.0,4,3,4,No,434
H1138,2,142.0,2.0,366.0,366.0,1,2,1,Yes,121
H1145,2,400.0,2.0,394.0,274.0,2,2,3,No,223
H1146,4,1667.0,4.0,394.0,29.0,4,4,4,No,444
H1147,7,1330.0,7.0,305.0,152.0,3,4,4,No,344
H1148,1,141.0,1.0,425.0,425.0,1,1,1,Yes,111
H1153,4,477.0,4.0,335.0,29.0,4,4,3,No,443
H1155,1,226.0,1.0,274.0,274.0,2,1,2,No,212
H1156,1,99.0,1.0,425.0,425.0,1,1,1,Yes,111
H1159,18,2791.0,18.0,366.0,213.0,3,4,4,No,344
H1162,1,269.0,1.0,335.0,335.0,1,1,2,Yes,112
H1163,2,108.0,2.0,274.0,274.0,2,2,1,No,221
H1164,3,151.0,3.0,305.0,244.0,3,3,2,No,332
