Stock ID,Cost of Goods,Unit Price,Shipping Cost,Customer ID,Vendor,Order Status,Product Category,Brand,Product Description,Product Base Margin,Order Date,Profit,Quantity,Sales,Order ID,Month,Year
171003,76.0,99.0,15.0,VVIP1017,DIRECT,finished,Clothing,Madewell,"Madewell Trevi Drapey Blazer Suit Black 2 Last time, change number",8%,2017-01-01,8.0,1.0,99.0,2017013,1.0,2017.0
171004,87.0,120.0,22.5,L1631,DIRECT,finished,Shoes,UGG,UGG Australia – Joey Leather & Genuine Shearling Lined Chelsea Boot 6.5 酒红色,9%,2017-01-01,10.5,1.0,120.0,2017014,1.0,2017.0
171005,87.0,120.0,22.5,L1631,DIRECT,finished,Shoes,UGG,Ugg red short paragraph 7,9%,2017-01-01,10.5,1.0,120.0,2017015,1.0,2017.0
171006,113.0,193.0,15.0,H1270,DIRECT,finished,Clothing,Icebreaker,Set of icebreaker ladies zipper blouse grey s pants s,34%,2017-01-01,65.0,1.0,193.0,2017016,1.0,2017.0
171007,33.0,107.0,15.0,L1609,DIRECT,finished,Clothing,Anthropologies,Anthropological powder purple sweater s,55%,2017-01-01,59.0,1.0,107.0,2017017,1.0,2017.0
171008,33.0,107.0,15.0,L1367,DIRECT,finished,Clothing,Anthropologies,"Anthropological powder purple sweater m short clothes, s too small",55%,2017-01-01,59.0,1.0,107.0,2017018,1.0,2017.0
171009,33.0,107.0,15.0,VVIP1017,DIRECT,finished,Clothing,Anthropologies,Anthropological powder purple sweater s,55%,2017-01-01,59.0,1.0,107.0,2017019,1.0,2017.0
171010,36.0,64.0,7.5,L1126,DIRECT,finished,Clothing,Tory Burch,Tory sports white top s number,32%,2017-01-01,20.5,1.0,64.0,20170110,1.0,2017.0
171011,33.0,107.0,15.0,L1288,DIRECT,finished,Clothing,Anthropologies,Anthropological powder purple sweater s,55%,2017-01-01,59.0,1.0,107.0,20170111,1.0,2017.0
171012,31.0,80.0,7.5,L1126,DIRECT,finished,Clothing,Scotch Soda,Scotch soda camel hat,52%,2017-01-01,41.5,1.0,80.0,20170112,1.0,2017.0
171013,44.0,76.0,15.0,L1060,DIRECT,finished,Clothing,Armani Exchange,Ae black sports jacket s,22%,2017-01-01,17.0,1.0,76.0,20170113,1.0,2017.0
171014,662.0,743.0,30.0,L1230,V1011,finished,Shoes,Stuart Weitzman,Sw highland 5.5 Grey,7%,2017-01-01,51.0,1.0,743.0,20170114,1.0,2017.0
171015,31.0,80.0,15.0,H1265,DIRECT,finished,Clothing,Scotch Soda,Scotch soda black hat,43%,2017-01-01,34.0,1.0,80.0,20170115,1.0,2017.0
171016,33.0,107.0,15.0,H1045,DIRECT,finished,Clothing,Anthropologies,Anthropological powder purple sweater s,55%,2017-01-01,59.0,1.0,107.0,20170116,1.0,2017.0
171017,38.0,99.0,15.0,H1156,DIRECT,finished,Clothing,Madewell,Madewell Wool Dress Grey xs,46%,2017-01-01,46.0,1.0,99.0,20170117,1.0,2017.0
171018,85.0,161.0,7.5,L1457,DIRECT,finished,Clothing,Ted Baker,Ted baker bow white shirt 4,43%,2017-01-01,68.5,1.0,161.0,20170118,1.0,2017.0
171019,38.0,80.0,7.5,VVIP1044,DIRECT,finished,Clothing,Victoria Secrete,Vs pajamas black xs,43%,2017-01-01,34.5,1.0,80.0,20170119,1.0,2017.0
171020,36.0,64.0,7.5,VVIP1044,DIRECT,finished,Clothing,Tory Burch,Tory sports white top xs,32%,2017-01-01,20.5,1.0,64.0,20170120,1.0,2017.0
